Feature Area,Scenario,Message
Chat,A user receives a new chat message in an order/request conversation,"Title: ""New message from [Sender Name]"". Body: [the message text], or ""Sent a photo"" / ""Sent an attachment"" if there was no text."
Chat,A client asks the AI assistant for help/support in chat (admin alert),"Title: ""Support requested via AI Assistant"". Body: ""[Client Name] asked for support: '[first 300 characters of their message]'"""
Client Request,A client submits a new custom request,"Title: ""New Request"". Body (direct to one artist): ""You've received a direct request from [Client Name]."" Body (open to artist pool): ""Great news! [Client Name] has submitted a new nail request"""
Client Request,A client adds other people to a group order,"Title: ""[Requester Name] added you to a group order"". Body: ""You're one of [Total People] people on this order."""
Client Request,An artist accepts a client's request (solo order),"Title: ""Request Accepted"". Body: ""[Artist Name] accepted your request [Order Number]. Final amount: $[Amount]."" (Group orders add: "" Pay to confirm."")"
Client Request,An artist accepts a group order,"Title: ""Request Accepted"". Body: ""[Artist Name] accepted the group order. Your payment amount: $[Share Amount]."""
Client Request,An artist declines a direct request (request is cancelled),"Title: ""Request Cancelled"". Body: ""Declined by Artist [Artist Name]"""
Client Request,A client completes payment for an accepted request,"Title: ""Payment Done"". Body: ""Client completed payment for your accepted request."" (or, when an order number is available) ""Payment completed for order [Order Number]."""
Client Request,A client's request auto-expires without being accepted,"Title: ""Request Expired"". Body: ""Your request is expired. Please resubmit"""
Client Request,A client cancels their own request,"Title: ""Client Cancelled Request"". Body: ""Client has cancelled the request. Reason: [Reason]"""
Client Request,An artist marks the design as completed,"Title: ""Order Completed"". Body: ""Your nails are done! (nail polish emoji) [Artist Name] just uploaded your final look."" Companion SMS: ""JNT: Your completed design for order [Order Number] is ready for review. Please accept or decline in the app."""
Client Request,An artist marks a request as shipped,"Title: ""Order Shipped"". Body: ""[Artist Name] has shipped your [Campaign Name] on [Shipped Date]"""
Client Request,An artist marks a request as delivered,"Title: ""Order Delivered: Review & Tip"". Body: ""Your order has been delivered. Open the app to leave a rating, comments, and tip your artist."""
Client Request,Follow-up reminder sent after delivery (separate reminder pass),"Title: ""Review & Tip Your Artist"". Body: ""Your order has been delivered. Please leave a quick review and tip in the app."" Companion SMS: ""JNT: Your order was delivered. Open the app to leave your review and tip."""
Client Request,A client submits a review of the artist,"Title: ""New Client Review"". Body: ""A client left a [Rating] star review on a delivered order."""
Client Request,A client submits a tip along with their review,"Title: ""New Client Tip"". Body: ""A client sent you a tip of $[Amount] on a delivered order."""
Client Request,A client's own review/tip submission is confirmed to them,"Title: ""Order Completed"". Body: ""You completed your order review successfully. Thank you for your feedback."""
Client Request,Admin copy — a client submits a review,"Title: ""Client Review Submitted"". Body: ""Client submitted a [Rating] star review for delivered order [Order Number] (Artist: [Artist Name])."""
Brand Request,A brand submits a new campaign request,"Title: ""New Brand Request"". Body: ""Received brand request from [Brand Name], [Campaign Name]"""
Brand Request,Admin copy — a new brand request is created,"Title: ""New Brand Request"". Body: ""New Brand request [Order Number] from [Brand Name] [Campaign Name] is created."""
Brand Request,A client accepts a brand request,"Title: ""Brand Request Accepted"". Body: ""[Client Name] has accepted your [Campaign Name] brand request [Order Number]"""
Brand Request,Admin copy — a client accepts a brand request,"Title: ""Brand Request Accepted"". Body: ""[Client Name] has accepted the [Brand Name] [Campaign Name] brand request [Order Number]"""
Brand Request,A client's acceptance releases the request to the artist pool (or a direct artist),"Title: ""Brand Request Available"". Body: ""You have received a Brand request [Order Number] for [Client Name] from [Brand Name] [Campaign Name]"""
